"aba, Aphis"
"abchasica, Megoura viciae ssp."
"abdomenigrum, Chitinosiphon"
"abeliae, Neotoxoptera"
"abrotani, Coloradoa, Macrosiphoniella"
"abyssinica, Pseudaphis"
"acadiana, Cinara "
"acaenae, Pentamyzus"
"acaenaevora, Aphis"
"acaenovinae, Aphis"
"acanthoidis, Aphis"
"acanthophylli, Aphidura"
"acanthovillus, Pleotrichophorus see utensis"
"acaudata, Brachycaudus"
"acetosae, Aphis"
"achilleae, Coloradoa, Metopeurum, Pleotrichophorus, Uroleucon"
"achillearadicis, Aphis"
"achlys, Macrosiphoniella"
"aconiti, Brachycaudus"
"aconitifoliae, Delphiniobium"
"acophorum, Microsiphoniella"
"acori, Schizaphis"
"acrita, Aphis"
"acroptilidis, Dysaphis"
"acroptilidis, Uroleucon"
"acutirostre, Uroleucon see budhium"
"adenocaulonae, Uroleucon"
"adenophorae, Tshernovaia, Uroleucon"
"adenophoricola, Uroleucon see adenophorae"
"adianti, Macrosiphum"
"adjuvans, Aspidaphis"
"aegopodii, Aulacorthum, Cavariella"
"aeschynomenidis, Neoantalus"
"aetheocornum, Macrosiphum"
"aetnensis, Macrosiphoniella"
"afghanensis, Pleotrichophorus persimilis ssp."
"afghanica, Brachyunguis see tausaghyz, Protaphis, Trama, Uroleucon sonchi ssp.            "
"africana, Tetraneura"
"agabiformis, Hyadaphis"
"agastachyos, Aphis"
"agathona, Braggia"
"agathonica, Amphorophora"
"ageni, Kugegania"
"agilissima, Pehuenchaphis"
"agrariae, Aphis"
"agrimoniae, Acyrthosiphon malvae ssp."
"agrimoniellum, Macrosiphum"
"agriphylli, Brachyunguis"
"agropyricena, Tetraneura capitata ssp."
"agropyronensis, Sipha"
"agropyronophaga, Diuraphis see tritici "
"agrostidis, Diuraphis"
"agrostis, Schizaphis"
"airolense, Chaetosiphon alpestre ssp."
"aizenbergi, Dysaphis newskyi ssp., Semiaphis, Therioaphis "
"aizhanae, Macrosiphoniella"
"ajaniae, Coloradoa, Macrosiphoniella"
"ajugae, Myzus"
"akebiae, Sitobion"
"aktaschica, Macrosiphoniella (Asterobium)"
"aktashica, Macrosiphoniella"
"alaica, Rhopalomyzus"
"alakuli, Xerobion"
"alaskense, Uroleucon"
"alatina, Therioaphis"
"alatavica, Aphidura, Prociphilus see umarovi"
"alativica, Macrosiphoniella, Nasonovia"
"albata, Pterasthenia"
"albella, Aphis"
"albertinae, Macrosiphum"
"albiartemisiae, Macrosiphoniella"
"albidum, Metopolophium"
"albifrons, Macrosiphum"
"albinae, Sappaphis"
"albipes, Iziphya"
"alboapicalis, Cryptomyzus"
"albocinerea, Dysaphis see emicis"
"alchemillae, Aphis"
"alectorolophi, Myzus"
"alexandrae, Aphis see Protaphis terricola"
"alhagii, Protaphis"
"alhagis, Weibanaphis"
"alienus, Aphis"
"aliquanti, Vietaphis"
"alistana, Israelaphis"
"alliariae, Lipaphis"
"allii, Dysaphis"
"alopecuri, Sitobion"
"alpestre, Chaetosiphon"
"alpestris, Trichosiphonaphis"
"alpicola, Taiwanomyzus"
"alpigeniae, Ericolophium"
"alpina, Nasonovia"
"alpinae, Volutaphis"
"alpinum, Chaetosiphon, Macrosiphum, Metopolophium, Pterocomma"
"alstroemeriae, Aphis"
"altaensis, Nasonovia"
"altaica, Klimaszewskia, Macrosiphoniella, Rubiaphis"
"altaicum, Uroleucon "
"alyssi, Spatulophorus"
"alyssii, Smiela schneideri ssp."
"amamianum, Uroleucon"
"amaranthi, Aphis"
"ambiguum, Uroleucon"
"ambrosiae, Pleotrichophorus, Uroleucon"
"americana, Iziphya"
"americanum, Impatientinum"
"ampelina, Aploneura"
"amphorosiphon, Aphidura"
"ampullata, Amphorophora"
"amsinckii, Pleotrichophorus"
"amurensis, Allaphis cyperi ssp., Amphorophora, Xerobion"
"amygdaloides, Macrosiphum"
"anaphalidis, Indomasonaphis"
"ancathiae, Protaphis "
"anchusae, Geoica"
"andromedae, Illinoia"
"anemones, Himalayaphis"
"anemoni, Thecabius"
"anethi, Hyadaphis"
"angelicae, Aphis, Cavariella, Coloradoa, Dysaphis"
"angelicograstis, Sappaphis"
"angelicophaga, Dysaphis"
"angusticeps, Vesiculaphis"
"angusticorna, Ceratovacuna"
"anholocyclica, Dysaphis radicola ssp."
"anisoidis, Dysaphis"
"anisopappi, Micromyzella"
"annae, Amphorophora"
"anncharlotteae, Eriosoma"
"annulata, Dysaphis, Macrosiphoniella see antennata"
"anomalae, Uroleucon"
"anomella, Obtusicauda"
"anselliae, Sitobion"
"antennieurfum, Eriosoma"
"anthemiae, Protaphis"
"anthemidis, Protaphis"
"antherici, Aphis"
"anthrisci, Dysaphis, Semiaphis"
"anuraphoides, Protaphis"
"apiaca, Brachysiphoniella"
"aqua, Macrosiphoniella see grandicauda"
"aquatilis, Subsaltusaphis"
"aquaviride, Uroleucon see Macrosiphum euphorbiae"
"aquilegiae, Nasonovia"
"aquilonalis, Aphis"
"arabica, Pseudaphis"
"arabisi, Tauricaphis"
"aralensis, Protaphis"
"araliaeradicis, Aphis"
"arctica, Brevicoryne, Calaphis, Colophina, Macrosiphoniella, Thripsaphis vibei ssp.see Allaphis cyperi "
"arcticum, Metopolophium"
"arctiumi, Aphis"
"arctogenicolens, Metopolophium"
"arenaria, Aphis coronillae ssp."
"arenariae, Macrosiphoniella"
"arenarii, Sipha"
"argentinaeradicis, Nearctaphis"
"argynica, Macrosiphoniella"
"argrimoniae, Aphis"
"argus, Acyrthosiphon"
"arizonensis, Nasonovia"
"armata, Aphis"
"armelliae, Brachyunguis"
"armoraciae, Protaphis see middletonii"
"arnaultae, Therioaphis"
"arnesense, Uroleucon"
"arrhenatheri, Schizaphis "
"artemisicola Artemisaphis, Coloradoa see campestrella, Pleotrichophorus"
"artemisiphaga, Aphis, Aulacorthum"
"artemisiphila, Aphis, Obtusicauda"
"artemisivora, Aphis"
"arthraxonis, Kaochiaoja"
"asamensis, Myzus"
"asirum, Sitobion"
"asishghoshi, Cinara"
"asparagi, Brachycorynella"
"asparagophagus, Myzus see persicae"
"assiniboinensis, Acyrthosiphon"
"asterensis, Acuticauda"
"asteriae, Myzus, Uroleucon"
"astericola, Aphis"
"asterifoliae, Pleotrichophorus"
"asteriphagum, Aulacorthum"
"asteris, Aulacorthum, Aleurodaphis, Macrosiphoniella"
"asteromyzon, Uroleucon"
"asterophaga, Myzus see Metopolophium dirhodum"
"asterophagum, Uroleucon"
"astrachanicae, Cryptosiphum"
"astragalensis, Bicaudella"
"astragali, Acyrthosiphon, Aphis, Therioaphis"
"astragalicola, Aphis"
"astragalina, Aphis"
"astrakhanica, Protaphis"
"astronomus, Uroleucon"
"atina, Dysaphis"
"atra, Cinara, Liosomaphis, Macrosiphoniella"
"atragenae, Macrosiphum"
"atraphaxidis, Brachyunguis"
"atrata, Macrosiphoniella see atra"
"atricornis, Epameibaphis"
"atripes, Cinara, Uroleucon"
"atriplicis, Hayhurstia, Metopeuraphis"
"atriplicivorum, Cryptosiphum see brevipilosum"
"aubletia, Aphis"
"auctum, Acyrthosiphon"
"aucupariae, Dysaphis"
"audeni, Macrosiphum"
"aulacorthoides, Sitobion"
"auralenta, Forda see orientalis"
"aurantii, Aphis, Toxoptera see Aphis"
"aurata, Neuquenaphis"
"auratum, Eriosoma"
"aurea, Schizaphis"
"auriculae, Acyrthosiphon, Thecabius"
"australis, Wahlgreniella see Delfinoia peruviana"
"austriaca, Aphis, Iziphya see bufo"
"austriacae, Macrosiphoniella"
"autriquei, Burundiaphis, Sitobion"
"avariolosa, Ericaphis"
"avenae, Sitobion"
"avicularisucta, Polygonaphis see Aspidaphis adjuvans"
"axyriphaga, Aphis"
"axyriradicis, Aphis"
"azaleae, Illinoia"
"azerbaidjanica, Therioaphis"
"babai, Taiwanomyzus"
"baccharicola, Aphis"
"badium, Macrosiphum"
"bahamondesi, Brachyunguis"
"bahratia, Aphidura see ornatella"
"baichengense, Titanosiphon see dracunculi"
"baisunensis, Dysaphis eremuri ssp."
"balachowskyi, Cinara, Seneciobium"
"ballii, Thripsaphis"
"ballotae, Aphis, Brachycaudus, Cryptomyzus"
"balloticola, Aphis see ballotae"
"balsamines, Impatientinum"
"bamendae, Sitobion"
"barbareae, Brevicoryne"
"baronii, Trama"
"barsukense, Xerobion"
"bartholomewi, Illinoia crystleae ssp."
"basui, Tetraneura"
"bazarovi, Eotrama"
"behboudii, Cryptomyzus"
"beheni, Acaudinum"
"beijingensis, Ceratovacuna, Thecabius, Therioaphis"
"beiquei, Sitobion"
"bellicosum, Titanosiphon see neoartemisiae"
"benoisti, Titanosiphon see minkiewiczi"
"berberidis, Liosomaphis"
"berberidorum, Aphis"
berberinutritum  Metopolophium see fasciatum
"berchemiae, Macrosiphum"
"bereticum, Uroleucon"
"berezhkovi, Brachyunguis"
"beringiensis, Aphis"
"berkemiae, Macrosiphum"
"berlesei, Chaetosiphella"
"berlinskii, Aphis"
"berteroae, Aphis"
"berteroaella, Lipaphis see ruderalis"
"betae, Pemphigus, Smynthurodes"
"betpakdalensis, Protaphis"
"bharatia, Aphidura see ornatella"
"bhutanense, Pterocomma"
"bicincta, Hyadaphis"
"bicolor, Brachycaudus, Brachyunguis, Pterocomma, Uroleucon"
"bidenticola, Acyrthosiphon"
"bidentis, Acyrthosiphon see ilka"
"bielawskii, Uroleucon"
"biennis, Myzus"
"bifrontis, Uroleucon"
"bigrarta, Trama"
"bimacula, Protaphis"
"biobiensis, Aphis"
"bisensoriatum, Macrosiphum"
"bishopi, Brachyunguis"
"bispina, Tetraneura fusiformis ssp."
"bistorti, Acyrthosiphon"
"blanchardi, Brachyunguis"
"blascoi, Xerobion"
"blattnyi, Acyrthosiphon nigripes ssp., Chondrillobium"
"boehmeriae, Myzus"
"bogdouli, Delphiniobium"
"bonariensis, Macrosiphoniella tanacetaria ssp."
"bonitum, Uroleucon"
"bonjeaniae, Therioaphis"
"bonnevillensis, Bachyunguis"
"bonomii, Dysaphis"
"boraginacearum, Ovatomyzus"
"boreale, Acyrthosiphon, Uroleucon"
"borystenicum, Metopeurum"
"bossekiae, Utamphorophora"
"bournieri, Coloradoa"
"bozhkoae, Aphidura, Macrosiphoniella"
"bozhkoi, Aphis"
"brachiariae, Micromyzus see Pentalonia gavarri"
"brachychaeta, Aphis, Pseudessigella"
"brachychaetum, Uroleucon"
"brachycyclica, Dysaphis, Nasonovia"
"brachysiphon, Acyrthosiphon, Aphis, Brachycolus, Brachyunguis see Aphis, Plocamaphis flocculosa ssp."
"brachyskeroae, Ceratoglyphina"
"brachytarsus, Schizaphis"
"brachytricha, Tetraneura, Therioaphis"
"bradburyi, Uroleucon"
"brasiliensis, Cerataphis, Microparsus"
"brassicae, Brevicoryne"
"brevicorne, Acyrthosiphon"
"brevicornis, Atheroides, Ceratovacuna see japonica, Pemphigus, Thripsaphis"
"brevifoliae, Cinara cedri ssp."
"brevinectarius, Pleotrichophorus"
"brevipes, Nasonovia"
"brevipilosa, Cinara, Coloradoa, Megoura, Paczoskia"
"brevipilosum, Cryptosiphum"
"brevirostratus, Brachycaudus"
"brevirostre, Sitobion, Uroleucon"
"brevirostris, Dysaphis, Stegophylla"
"brevis, Pleotrichophorus packi spp."
"breviscriptum, Uroleucon"
"brevisiphona, Macrosiphoniella"
"brevitarsis, Aphis, Illinoia, Uroleucon"
"brohmeri, Aphis"
"bromi, Cryptaphis"
"bromicola, Diuraphis, Utamphorophora"
"brotericola, Aphis"
"brunellae, Aphis"
"brunnea, Aphis"
"brutii, Xerobion see caspicae"
"bucktoni, Myzaphis"
"bucktonis, Greenidea"
"budhium, Uroleucon"
"bufo, Iziphya"
"buhri, Pseudobrevicoryne"
"bulgarica, Paczoskia"
"bulgaricum, Acaudinum"
"bulgaricus, Capitophorus, Periphyllus"
"bumeliae, Prociphilus"
"bunii, Cavariella, Dysaphis"
"bupleuri, Aphis, Hyadaphis, Macrosiphum"
"bupleuriphila, Hyadaphis"
"bupleurisensoriata, Aphis see bupleuri"
"burakowskii, Sipha"
"buryatica, Macrosiphoniella see Metopeurum "
"buryaticum, Metopeurum"
"bykovi, Paracletus"
"cacaliasteris, Aphis"
"cachryos, Anuraphis"
"cadens, Uroleucon"
"caerulea, Vesiculaphis"
"caespitosae, Thripsaphis see ballii"
"cahuillae, Brachyunguis"
"calamagrostis, Diuraphis"
"calaminthae, Aphis"
"calanthes, Hydronaphis"
"calendulae, Uroleucon"
"caligatum, Uroleucon"
"calligoni,  Brachyunguis"
"callunae, Aphis"
"calthae, Rhopalosiphoninus"
"calvulum, Acyrthosiphon see Sitobion, Sitobion"
"camelliae, Greenidea"
"camellis, Ceratoglyphina"
"cameronense, Uroleucon see cephalonopli"
"campanulae, Uroleucon"
"campanulata, Jacksonia"
"campestrella, Coloradoa"
"campestris, Coloradoa"
"camphorosmae, Chaitaphis, Xerobion"
"cana, Therioaphis see trifolii"
"canadense, Delphiniobium, Uroleucon"
"canadensis, Cachryphora, Microsiphoniella, Richardsaphis, Subsaltusaphis"
"canae, Aphis"
"canberrae, Casimira"
"candicans, Dysaphis"
"cannabis, Phorodon"
"capilanoense, Aulacorthum see Amphorophora forbesi"
"capillaricola, Macrosiphoniella "
"capillatum, Metopeurum"
"capitata, Raychaudhuriaphis, Tetraneura"
"capitellum, Acyrthosiphon"
"capitophoroides, Blanchardaphis, Matsumuraja"
"capparidis, Anuraphis"
"capsellae, Dysaphis"
"caraganae, Acyrthosiphon"
"carberriense, Uroleucon"
"cardamine, Aphis see triglochinis"
"carduellinus, Hyperomyzus"
"carduella, Aphis see asclepiadis"
"cardui, Brachycaudus, Chitinosiphon, Uroleucon mongolicum ssp.  "
"carduinus, Capitophorus"
"cari, Aphis"
"caricicola, Thripsaphis"
"carrilloi, Aphis"
"carlinae, Protaphis, Uroleucon"
"carmini, Israelaphis"
"carnosum, Microlophium"
"caroliboerneri, Aphis"
"carpaticae, Thripsaphis brevicornis ssp., Delphiniobium, Hydaphias"
"carthami, Protaphis, Uroleucon"
"carverae, Aphis"
"caryopteridis, Aphis"
"caspicae, Xerobion"
"caspicum, Staticobium, Uroleucon"
"castelleiae, Nasonovia"
"catharinae, Amphorophora"
"caucasicum, Staticobium"
"caudata, Trama"
"cayratiae, Macrosiphoniella"
"ceanothi, Aphis, Illinoia"
"cegmidi, Macrosiphoniella"
"celtifoliae, Rhopalosiphoninus"
"centaurea, Aphis see Protaphis terricola"
"centaureae, Acaudinum, Dysaphis, Trama, Volutaphis"
"centranthi, Macrosiphum"
"cephalanthi, Aphis"
"cephalariae, Dysaphis"
"cephalarioides, Dysaphis"
"cephalata, Vesiculaphis"
"cephalonopli, Uroleucon"
"cerasi, Myzus"
"cerastii, Aphis, Brachycolus, Thecabius"
"cercocarpi, Aphis"
"cerei, Nasonovia houghtonensis ssp."
"cerina, Tuberaphis"
"cerinthiacum, Macrosiphum"
"cerinthis, Brachycaudus"
"certus, Myzus"
"cervariae, Semiaphis"
"cessana, Cavariella"
"chaenometiola, Schizaphis"
"chaetosiphon, Aphis, Chaetosiphon, Holmania, Macrosiphoniella, Neobetulaphis, Pterocomma, Sorbaphis, Toxoptera see Aphis"
"chamaedrys, Ovatomyzus"
"chamaemelifoliae, Macrosiphoniella"
"chamaerhodi, Szelegiewicziella"
"chandrani, Metopolophium"
"chani, Uroleucon"
"chanikiwiti, Sitobion see leelamaniae"
"chelidonii, Acyrthosiphon"
"chilense, Uroleucon"
"chilopsidi, Aphis"
"chita, Macrosiphoniella see saussureae"
"chloris, Aphis"
"cholodkovsyi, Macrosiphum"
"cholsunensis, Rhodiolaphis see Brachycaudus sedi "
"chomoense, Elatobium"
"chondrillae, Protaphis, Uroleucon"
"chosoni, Lachnus, Macrosiphoniella abrotani ssp."
"chrysanthemi, Chaitophorus see nassonowi, Pleotrichophorus, Uroleucon"
"chrysopsidicola, Uroleucon"
"chrysosplenii, Taiwanomyzus"
"chrysothamni, Aphis"
"chrysothamnicola, Aphis"
"churchillense, Acyrthosiphon"
"chusqueae, Rhopalosiphum"
"cicerbitae, Uroleucon"
"ciceri, Aphis"
"cichorii, Uroleucon"
"cicutisucta, Cavariella"
"ciefi, Uroleucon"
"cimicifugae, Aphis"
"cinae, Xerobion"
"cinerascens, Macrosiphoniella"
"cinerea, Aphis"
"cirsiariston, Unisitobion see Chitinosiphon cirsorhizum"
"cirsicola, Aphis, Aulacorthum, Uroleucon"
"cirsii, Dysaphis lappae ssp."
"cirsii, Radiaphis see Chitinosiphon cirsorhizum"
"cirsii, Uroleucon"
"cirsiiacanthoidis, Aphis fabae ssp."
"cirsiioleracei, Aphis"
"cirsiiphagus, Capitophorus"
"cirsiphila, Aphis"
"cirsomilos, Radicisiphum see Chitinosiphon cirsorhizum"
"cirsorhizum, Chitinosiphon"
"cissi, Sitobion"
"citrina, Aphis see chloris"
"citrinus, Cryptomyzus galeopsidis ssp."
"clauseni, Subiziphya"
"claytoniae, Macrosiphum"
"clematicola, Aphis, Colophina"
"clematidis, Aphis"
"clematifoliae, Macrosiphum"
"clematiphaga, Aphis"
"clematophagum, Macrosiphum"
"clematophilus, Tubaphis"
"clerodendri, Aphis, Prociphilus"
"cliftonensis, Aphis"
"clinepetae, Aphis"
"clinopodii, Aphis, Eumyzus "
"clum, Macrosiphum"
"clydesmithi, Aphis, Macrosiphum, Nearctaphis"
"cochleariae, Lipaphis"
"cockerelli, Macrosiphum see rudbeckiarum"
"codonopsicola, Megouroleucon"
"codonopsidis, Rhopalomyzus"
"codonopsis, Neomyzus"
"coerulescens, Hyadaphis"
"coffeae, Sinomegoura"
"coffeata, Aphis"
"colchica, Paczoskia"
"colei, Sitobion"
"collomiae, Nasonovia"
"colocasiae, Hydronaphis"
"coloradense, Uroleucon"
"coloutensis, Amphorophora"
"columbiana, Braggia"
"coluteae, Pemphigus see vesicarius"
"comari, Aphis"
"commelinensis, Utamphorophora"
"comosa, Aphis"
"compositarum, Oedisiphum"
"compositellae, Nasonovia"
"conandri, Xenosiphonaphis"
"coniumi, Semiaphis"
"conspicua, Aphis"
"constrictum, Macrosiphum"
"coprosmae, Aphis"
"corallinum, Macrosiphum see cholodkovsyi"
"corallorhizae, Macrosiphum"
"coraria, Aphis lantanae ssp."
"corazonensis, Carolinaia"
"coreanum, Chaetosiphon"
"coriandri, Hyadaphis"
"coridifoliae, Aphis"
"coringiae, Lipaphis rossi ssp."
"cornuta, Aphis, Trichosiphonaphis"
"coronillae, Aphis"
"coronopifoliae, Aphis"
"corsicae, Acyrthosiphon"
"corsicensis, Aphidura"
"cortusae, Anuraphis"
"corydalicola, Aulacorthum"
"corydalis, Macrosiphum"
"corydalisicola, Longicaudinus"
"coryspermi, Semiaphis"
"costalis, Aphis"
"cotoneasteris, Anuromyzus"
"cottieri, Aphis"
"cousiniae, Protaphis, Dysaphis"
"coweni, Adelges, Aphis see cercocapi, Obtusicauda, Tamalia"
"craccae, Aphis"
"crambe, Brevicoryne"
"crambinistataricae, Brevicoryne see crambe"
"crassicauda, Megoura"
"crassicornis, Indiaphis, Lachnus"
"crassisetosa, Nigritergaphis"
"crassitibiae, Brachycaudus"
"crassitubia, Obtusicauda moldavica ssp."
"creelii, Macrosiphum"
"crenicorna, Nasonovia"
"crepidis, Acyrthosiphon, Aphis, Macrosiphoniella, Uroleucon formosanum ssp."
"crepusisiphon, Uroleucon"
"crithmi, Dysaphis"
"crypta, Aphis, see Protaphis middletonii"
"cryptobium, Subacyrthosiphon"
"cryptotaeniae, Amphorophora"
"crystleae, Anthracosiphon"
"crystleae, Illinoia"
"cucubali, Brachycolus"
"cuprea, Schizaphis"
"curtiseta, Aphis"
"cuscutae, Aphis, Brachyunguis, Macrosiphum"
"cuspidata, Muscaphis"
"cyatheae, Macrosiphum"
"cylactis, Aulacorthum"
"cymbalariae, Myzus"
"cymbariae, Macrosiphoniella"
"cynanchi, Brachyunguis"
"cynanchiacuti, Brachyunguis see bicolor"
"cynarae, Dysaphis lappae ssp."
"cynosbati, Nasonovia"
"cyparissiae, Acyrthosiphon"
"cyperi, Allaphis, Carolinaia"
"cyrtomophilum, Cyrtomophorodon"
