"aba, Aphis"
"pulcherimum, Macrosiphum"
"pulchra, Subsaltusaphis see taoi"
"pulegii, Aphis"
"pulicariae, Uroleucon"
"pullatus, Hyperomyzus"
"pullus, Pleotrichophorus"
"pulmonariae, Amphorosiphon"
"pulsatillae, Aphis see montanicola"
"pulsatillaephaga, Aphis"
"pulsatillicola, Aphis"
"pulvera, Macrosiphoniella"
"pulverina, Dysaphis"
"purpurascens, Nasonovia"
"purshiae, Acyrthosiphon "
"pycnorhysus, Pleotrichophorus"
"pyrethri, Microsiphum, Uroleucon"
"qinghaiense, Uroleucon see Sitobion fragariae"
"quadritrichus, Pleotrichophorus"
"quednaui, Carolinaia see Rhopalomyzus lonicerae, Euceraphis, Symydobius"
"quinifontana, Macrosiphoniella"
"rabotkinae, Semiaphis"
"radiciphaga, Anoecia"
"radicis, Protrama"
"radicivorans, Dysaphis"
"raji, Aphis"
"ramona, Aphis"
"ranunculicola, Thelazacallis see Thecabius affinis"
"ranunculina, Tubaphis"
"ranunculum, Acyrthosiphon"
"rapunculoidis, Uroleucon"
"rarissima, Macrotrichaphis"
"raysmithi, Macrosiphum"
"rechingeri, Macropodaphis"
"rectisiphon, Ericolophium"
"remaudieri, Aphis see solanella"
"renjifoanae, Aphis"
"reticulatus, Abstrusomyzus, Uroleucon see jaceae"
"reynoldense, Uroleucon"
"rezwanii, Myzaphis"
"rhapidis, Astegopteryx"
"rhei, Brachyunguis"
"rheicola, Aphis, Dysaphis see emicis"
"rhinanthi, Hyperomyzus"
"rhodesiensis, Hallaphis"
"rhododendri, Chaetomyzus, Ericolophium, Illinoia, Sinomegoura, Vesiculaphis"
"rhododendris, Neomasonaphis see Ericolophium holsti"
"rhododendronitos, Rostratusaphis  "
"rhododendrophila, Chaetomyzus"
"rhokalaza, Illinoia"
"rhusifoliae, Carolinaia"
"rhynchosiae, Microparsus"
"ribesinus, Rhopalosiphoninus"
"ribicola, Aphis"
"ribiellus, Hyperomyzus"
"ribifolii, Nasonovia"
"ribis, Cryptomyzus"
"ribisnigri, Nasonovia"
"richardsi, Uroleucon"
"riedeli, Macrosiphoniella"
"riehmi, Therioaphis"
"rinariatus, Brachycaudus"
"riojanum, Uroleucon"
"ripariae, Aphis"
"riparium, Uroleucon"
"roberti, Aphis"
"robinsoni, Nasonovia wahinkae ssp., Uroleucon"
"rociadae, Brachycaudus"
"rockspirea, Acyrthosiphon"
"rogersii, Acyrthosiphon malvae ssp."
"roripae, Aphis"
"rosae, Aphiduromyzus, Macrosiphum, Pseudocercidus"
"rosaeiformis, Sitobion"
"rosaesuctum, Metopolophium"
"rosarum, Myzaphis"
"rosivorum, Sitobion"
"rossi, Amphorophora, Lipaphis"
"rossneri, Subsaltusaphis"
"rostellum, Aphis see umbrella"
"rostrata, Bicaudella, Cryptaphis, Indiaphis, Nasonovia"
"rotalis, Dysaphis see plantaginea"
"roumanicum, Acaudinum"
"rubea, Matsumuraja"
"rubi, Ayrthosiphon, Amphorophora, Maculolachnus, Matsumuraja"
"rubiae, Aphis"
"rubiarctici, Macrosiphum"
"rubicola, Illinoia, Matsumuraja"
"rubicolens, Aphis"
"rubicumberlandi, Amphorophora"
"rubida, Pseudacaudella"
"rubifoliae, Acyrthosiphon, Matsumuraja, Metopolophium see Acyrthosiphon"
"rubifolii, Aphis"
"rubiformosanum, Microlophium"
"rubiphila, Matsumuraja"
"rubiradicis, Aphis, Pemphigus"
"rubitoxica, Amphorophora"
"ruborum, Aphis"
"rudbeckiae, Uroleucon"
"rudbeckiarum, Macrosiphum"
"ruderalis, Lipaphis"
"rufomaculata, Coloradoa"
"rufula, Schizaphis"
"rufum, Aulacorthum"
"rukavishnikovi, Aphis"
"rumbleboredomia, Aphthargelia"
"rumecicola, Dysaphis"
"rumexicolens, Brachycaudus"
"rumicis, Acyrthosiphon, Aphis, Indomasonaphis"
"rumicivora, Aphis "
"rusticatus, Pleotrichophorus see pullus"
"rutae, Protaphis "
"ruthenica, Paczoskia paczoskii ssp."
"ruykyuense, Myzosiphum"
"sabihae, Metopolophium"
"sacchari, Melanaphis"
"sachalinensis, Macrosiphoniella"
"safavii, Chaitaphis"
"sainshandi, Macrosiphoniella abrotani ssp."
"sajramugamicus, Cryptomyzus"
"salebrosa, Nasonovia"
"salicinae, Brachycaudus"
"salsolacearum, Brachyunguis"
"salsolae, Aphis"
"sampsoni, Nasonovia, Nevadaphis"
"sanborni, Macrosiphoniella"
"sandilandicus, Hyperomyzus"
"sanguisorbae, Acyrthosiphon, Aphis"
"sanguisorbicola, Aphis"
"saniculae, Aphis"
"santolinae, Coloradoa"
"santolinifoliae, Macrosiphoniella"
"sarothamni, Aphis cytisorum ssp."
"sasammi, Codonopsimyzus"
"saussureae, Acyrthosiphon, Macrosiphoniella, Uroleucon, Radiaphis see Chitinosiphon abdomenigrum"
"saussurearadicis, Aphis"
"saxaulica, Brachyunguis"
"saxifragae, Cavariella, Nasonovia"
"scabra, Allaphis"
"scabripes, Amphorophora"
"scalare, Acyrthosiphon"
"scammelli, Ericaphis"
"scariolae, Acyrthosiphon"
"schilderi, Aphis"
"schoelli, Sitobion"
"schusteri, Volutaphis"
"scirpi, Aulacorthum, Schizaphis, Carolinaia"
"scirpicola, Schizaphis"
"sclerodensus, Protrama longitarsus ssp."
"sclerodorsi, Aulacorthum"
"scoliopi, Ericaphis"
"scopariae, Coloradoa, Macrosiphoniella"
"scorzonerae, Protaphis, Uroleucon"
"scoticum, Sitobion"
"scrophulariae, Hyalomyzus see monardae, Uroleucon"
"scurrulae, Tuberaphis"
"sedens, Aulacorthum"
"sedi, Aphis, Brachycaudus"
"sediradicis, Aphis"
"sejuncta, Macrosiphoniella"
"selini, Aphis"
"selinumi, Dysaphis"
"sempervivae, Aphis"
"seneciocola, Uroleucon"
"seneciocrepiphaga, Aphis"
"senecionicoides, Aphis"
"senecionis, Aphis"
"senecionisdoriae, Aphis see jacobaeae"
"senecioradicis, Aphis"
"sensoriata, Amphorophora, Nearctaphis, Thripsaphis"
"sensoriataeuphorbiae, Aphis"
"sensorinuda, Macrosiphoniella see lijiangensis"
"septentrionalis, Aphis"
"seriphidii, Macrosiphoniella"
"serotinae, Cachryphora"
"serpylli, Aphis"
"serratularadicis, Aphis"
"serrulatus, Atheroides"
"seselii, Aphis, Dysaphis, Semiaphis dauci ssp."
"setaricola, Colopha"
"shanxiensis, Tenuilongaphis stata ssp., Tetraneura see nigriabdominalis"
"shinanonum, Acyrthosiphon"
"sibiricum, Microlophium"
"siculum, Uroleucon"
"siegesbeckicola, Myzus"
"sierra, Aphis"
"sieversianae, Cryptosiphum, Macrosiphoniella"
"sii, Ammiaphis, Paramyzus"
"sijpkensi, Maculolachnus, Uroleucon"
"sikhotealiensis, Macrosiphoniella"
"sikhotealinicus, Parachaitophorus"
"sikkimartemisiae, Macrosiphoniella"
"sikkimensis, Akkaia,  Betacallis, Carolinaia see Vesiculaphis, Geoica, Greenidea, Kaochiaoja, Tetraneura see yezoensis, Vesiculaphis "
"silaumi, Aphis"
"sileneobium, Uroleucon"
"silenephaga, Aphis"
"sileneum, Macrosiphum see stellariae"
"silenicola, Aphis"
"silvaticum, Macrosiphum see knautiae"
"silvestrii, Macrosiphoniella"
"simile, Uroleucon"
"similialticola, Eulachnus"
"similifungifera, Nevskya see fungifera"
"similioblonga, Macrosiphoniella see oblonga"
"similiradiciphaga, Anoecia"
"simlaense, Metopolophium see chandrani, Uroleucon"
"sinensis, Subsaltusaphis see Nevskya fungifera"
"singularis, Microparsus, Uhlmannia"
"sinilactucae, Hyperomyzus"
"sinilonicericola, Amphicercidus"
"siniperillae, Aulacorthum see perillae"
"siniscirpi, Schizaphis see piricola"
"siphunculata, Placoaphis see Ericaphis wakibae"
"sisymbrii, Lipaphis"
"skafi, Brachyunguis"
"skorkini, Mordvilkoiella"
"skurichinae, Uroleucon"
"sleesmani, Papulaphis"
"sleonensis, Micromyzella"
"smilaceti, Impatientinum, Macrosiphum see Impatientinum impatiens"
"smilacicola, Sitobion"
"smilacifoliae, Aleurosiphon, Rhopalosiphoninus, Sitobion"
"smilacis, Aulacorthum, Rhopalomyzus"
"smilacisina, Aphis"
"smirnovi, Aphis"
"soan, Aphis"
"sojaki, Macrosiphoniella"
"soldatovi, Acyrthosiphon"
"solidaginifoliae, Acuticauda"
"solidaginis, Aphis, Uroleucon"
"solidagophila, Aphis"
"solirostratum, Uroleucon"
"sonchellum, Uroleucon"
"sonchi, Protaphis, Uroleucon"
"sonchifoliae, Metopolophium see Acyrthosiphon rubi"
"songini,  Stellariopsis"
"soongarica, Macrosiphoniella nitida ssp."
"soosi, Macrosiphoniella"
"sophiae, Micromyzella"
"sorbarisorbifoliae, Himalayaphis see Chusiphuncula sorbarisucta"
"sorbariasuctus, Rhopalosiphoninus see Chusiphuncula sorbarisucta"
"sorbarisucta, Chusiphuncula"
"sorghi, Melanaphis"
"soureni, Oedisiphum"
"spartii, Acyrthosiphon see pisum"
"spatulavillus, Pleotrichophorus"
"spenceri, Iziphya"
"speyeri, Aulacorthum"
"sphondylii, Semiaphis"
"spinacaudatum, Aulacorthum"
"spinapilosa, Parathoracaphis"
"spinipes, Macrosiphoniella"
"spinosus, Hamamelistes, Macromyzus"
"spinulosa, Ceratovacuna"
"spinulosum, Micromyzodium"
"spiraephaga, Aphis"
"spiraephila, Aphis"
"spirocaudicula, Tshernovaia"
"sporadicus, Pleotrichophorus"
"sporta, Sportaphis see Tenuilongaphis stata"
"stachydis, Aphis, Cryptomyzus, Uroleucon"
"stachyophila, Amphorophora"
"stachyos, Ovatomyzus"
"staegeri, Macrosiphoniella"
"stammeri, Parathecabius see Mordvilkoja vagabunda"
"stata, Tenuilongiaphis"
"staticis, Staticobium"
"stavropolensis, Clypeoaphis"
"stellariae, Brachycolus, Macrosiphum, Myzus"
"stepposa, Uroleucon sonchi ssp."
"stipae, Anoecia, Chaetosiphella"
"stoetzelae, Uroleucon"
"stolonis, Amphorophora"
"stransvaesiae, Aphis"
"striata, Aphis see Protaphis picridicola, Oregma see Astegopteryx bambusae, Thripsaphis (Neobacillaphis)"
"strobilantheae, Neomyzus"
"strobilanthi, Melanaphis, Micromyzodium"
"stromi, Allaphis"
"strongilosiphon, Staticobium see gmelini"
"stroudi, Pleotrichophorus"
"stufkensi, Megoura"
"suaedae, Clypeoaphis"
"suaedicola, Clypeoaphis suaedae ssp."
"suaedus, Brachyunguis"
"subaequalis, Macrosiphoniella"
"subalpicum, Microsiphum procerae ssp."
"subarcticum, Macrosiphum see valerianae"
"submacula, Maculolachnus"
"submissa, Coloradoa"
"subnitida, Aphis"
"subnudus, Paracletus"
"subverrucosa, Allaphis verrucosa ssp."
"subviride, Illinoia"
"subviridis, Aphis"
"succisae, Aphis"
"sudhakaris, Macrosiphoniella"
"suffruticosum, Staticobium"
"suguri, Nasonovia see cynosbati"
"sumire, Aphis"
"sungkangensis, Neotoxoptera see oliveri"
"sunshine, Macrosiphoniella"
"superba, Acyrthosiphon see nigripes"
"supranubius, Acyrthosiphon"
"suzannae, Uroleucon"
"svalbardicum, Acyrthosiphon"
"sylvaticae, Macrosiphoniella kikungshana ssp."
"symphoricarpi, Aphthargelia"
"symphyti, Aphis, Macrosiphum"
"syrdariense, Uroleucon"
"syreniae, Smiela"
"sywangi, Aphis"
"szalaymarzsoi, Macrosiphoniella"
"tacita, Aphis"
"tade, Trichosiphonaphis"
"tadshikana, Macrosiphoniella"
"tadzhica, Coloradoa"
"tadzhikistanica, Cryptomyzus, Dysaphis"
"tadzhikistanicum, Acyrthosiphon caraganae ssp., Acyrthosiphon euphorbiae ssp., Acyrthosiphon soldatovi ssp.,   "
"taesongsanensis, Macrosiphoniella"
"tahosalea, Aphis see sedi"
"taiheisanum, Ericolophium"
"taimyricum, Metopolophium"
"taisetsusana, Dysaphis, Matsumuraja"
"taiwana, Akkaia"
"takahashii, Anoecia, Anomalosiphum, Aulacorthum, Capitophorus, Cavariella, Cinara, Dermaphis, Ericolophium, Eutrichosiphum, Lachnus, Macrosiphoniella antennata ssp., Melanaphis, Paracolopha, Periphyllus see ginnalae, Serratocallis, Sitobion, Stomaphis, Takecallis see arundinariae, Thoracaphis takahashii of Shinji see Dermaphis japonensis, Thoracaphis takahashii of Strand see Dermaphis takahashii, Trichaitophorus see koyaensis "
"takala, Nasonovia"
"talgarica, Aphis"
"tanacetaria, Macrosiphoniella"
"tanaceti, Uroleucon"
"tanacetina, Coloradoa"
"tapuskae, Macrosiphoniella"
"taraxaci, Dysaphis, Protrama, Trama, Uroleucon"
"tardae, Uroleucon"
"tashevella, Xerobion see cinae"
"tashevi, Aphis"
"tataricae, Hyadaphis"
"tateyamaensis, Melanaphis"
"taukogi, Aphis"
"taurica, Cinara, Ephedraphis ephedrae ssp., Coloradoa, Sipha"
"tausaghyz, Brachyunguis"
"telekiae, Uroleucon"
"tellenica, Cinara"
"tenera, Therioaphis"
"tenerum, Metopolophium"
"tenuicauda, Microlophium sibiricum ssp., Chaitaphis, Macrosiphum"
"tenuirostre, Uroleucon see budhium"
"tenuis, Pentamyzus"
"tenuitarsum, Uroleucon"
"tephrosiae, Microparsus"
"teriolana, Macrosiphoniella"
"terminalae, Myzus  NOMEN NUDUM"
"terraealbae, Macrosiphoniella, Xerobion see cinae"
"terricola, Aphis see Protaphis, Fullawaya, Lepidaphis, Protaphis"
"tessariae, Uroleucon"
"tetradymia, Protaphis"
"tetradymiae, Pleotrichophorus"
"tetrapteralis, Brachyunguis"
"teucrii, Aphis"
"texana, Phylloxera"
"thalictri, Aphis, Illinoia, Sitobion"
"thanatophila, Braggia deserticola ssp."
"thaspii, Aphis"
"thecomae, Aphis"
"theobaldi, Cavariella, Vesiculaphis"
"thermophila, Aphis helianthemi ssp."
"thesii, Aphis"
"thomasi, Aphi, Chaetosiphon"
"thorsteinni, Hyperomyzus"
"thracicum, Acyrthosiphon"
"thunebergi, Schizaphis"
"tianschanica, Aphis, Rhopalomyzus"
"tianshanica, Macrosiphoniella tanacetaria ssp., Myzaphis"
"tiarellae, Nasonovia"
"tigwatensa, Amphorophora"
"timpanogos, Macrosiphum"
"tinctum, Macrosiphum"
"tirucallis, Aphis"
"titovi, Acyrthosiphon see ilka"
"tolmiea, Macrosiphum"
"tomenthosi, Aphis"
"tormentillae, Aphis"
"tortuosissimae, Uroleucon"
"transiliensis, Cryptomyzus"
"triangulatus, Hyalomyzus, Pleotrichophorus"
"tribulis, Megourella"
"tricholepidis, Capitophorus"
"tridentatae, Flabellomicrosiphum, Pseudoepameibaphis"
"trifolii, Therioaphis"
"triglochinis, Aphis"
"trinus, Prociphilus see himalayensis"
"tripartitum, Uroleucon"
"triphylli, Uroleucon"
"tripolii, Aphis"
"trirhodus, Longicaudus"
"tritici, Diuraphis"
"triumfettae, Sitobion"
"troglodytes, Trama"
"trollii, Macrosiphum"
"tropaeoli, Aphis"
"tschuense, Uroleucon"
"tsengi, Tuberocephalus"
"tsherepanovi, Macropodaphis see alexandri"
"tshernavini, Chaetosiphella"
"tsizhongi, Macrosiphoniella see abrotani"
"tsujii, Aphis"
"tuataiae, Uroleucon"
"tuberculaceps, Macrosiphum"
"tuberculata, Amphorophora, Callipterinella, Dysaphis tschildarensis ssp., Indonipponaphis, Indumasonaphis see Indomasonaphis anaphalidis, Macrosiphoniella, Monelliopsis, Nevskya, Quernaphis, Rhinariaphis"
"tuberculatumartemisicola, Macrosiphoniella"
"tubituberculata, Macropodaphis"
"tulipae, Dysaphis"
"tulipaellus, Rhopalosiphoninus staphyleae ssp."
"tumorisiphum, Mollitrichosiphum"
"turanica, Brachycaudus cardui ssp., Eichinaphis see pamirica, Liosomaphis see berberidis, Macchiatiella rhamni ssp., Macrosiphoniella affinis ssp., Megoura viciae ssp., Myzaphis, Paczoskia paczoskii ssp., Protaphis,"
"turkestanica, Aphis see ucrainensis, Avicennina"
"turkestanicum, Acyrthosiphon cyparissiae ssp."
"turritella, Lipaphis"
"tussilaginis, Uroleucon"
"tutigulus, Pseudocercidus"
"ubsanurensis, Dysaphis"
"ucrainensis, Aphis"
"ucrainica, Aphis argrimoniae ssp., Macrosiphoniella staegeri ssp."
"ulicis, Aphis"
"ulmariae, Aphis"
"ulrichi, Sminthuraphis"
"ulytavicum, Xerobion"
"umarovi, Acyrthosiphon, Macrosiphoniella, Prociphilus"
"umbelliferarum, Aphis, Brachycaudus"
"umbrella, Aphis"
"unaweepiensis, Aphis"
"uncininiae, Thripsaphis"
"uncompahgrensis, Braggia"
"unguibrevis, Lipaphis"
"unicauli, Dysaphis"
"uralensis, Dysaphis"
"urmiensis, Aphidura"
"urovaneta, Braggia"
"urtica, Amphorophora"
"urticae, Metopeurum"
"urticata, Aphis"
"ussuriense, Delphiniobium, Uroleucon"
"utahensis, Allaphis, Aphis, Asiphonaphis, Chaitophorus, Drepanaphis, Durocapillata, Epameibaphis, Muscaphis"
"utensis, Pleotrichophorus"
"utpali, Tetraneura see javensis"
"utsugicola, Aphis"
"uvaeursi, Aphis"
"uvarovi,  Sipha"
"uyguricum, Uroleucon"
"uzbekistanicus, Paracletus bykovi ssp."
"valentinae, Dysaphis leefmansi ssp. "
"valerianae, Aphis, Macrosiphum"
"vallei, Aphis"
"vallescaldera, Atheroides"
"vallesiacae, Macrosiphoniella"
"valuliae, Abstrusomyzus"
"vancouverense, Uroleucon"
"vancouveriae, Macrosiphum"
"vannesii, Nasonovia"
"vasiljevi, Acyrthosiphon"
"ventromaculata, Therioaphis trifolii ssp."
"vera, Aspidophorodon, Nearctaphis, Uroleucon"
"veratri, Aphis"
"verbenae, Aphis see mamonthovae, Macrosiphum"
"verbesinae, Uroleucon"
"vernoniae, Aphis, Uroleucon"
"vernonicola, Uroleucon"
"veronicae, Myzus cerasi ssp., Zinia"
"veronicicola, Aphis"
"verrucosa, Allaphis"
"vibei, Thripsaphis see Allaphis cyperi, Utamphorophora"
"viburni, Aphis, Phorodon, Wahlgreniella"
"viburnicola, Ceruraphis, Sappaphis see Viburnaphis, Viburnaphis"
"viburniphila, Aphis"
"viciae, Megoura"
"viennoti, Dysaphis"
"vignaphilus, Microparsus"
"villalobosi, Ucrimyzus"
"villosa, Cinara "
"villosae, Macrosiphoniella erigeronis ssp., Pleotrichophorus"
"vineti, Aphis"
"violae, Aphis, Macrosiphum, Neotoxoptera"
"violaeradicis, Aphis"
"virgatae, Aulacophoroides"
"virgatus, Brachycaudus"
"virginiana, Patchia "
"virginica, Subsaltusaphis"
"viridirubra, Toxoptera see Schizaphis nigra"
"viscisucta, Tuberaphis"
"vitalbae, Aphis"
"viticola, Greenidea, Neothelaxes"
"vitifoliae, Daktulosphaira, Viteus see Daktulosphaira"
"vladimirovi, Aphis"
"vulgaris, Pemphigus see groenlandicus"
"vulgaris, Pleotrichophorus quadritrichus ssp."
"vurilocensis, Aphis"
"wagneri, Paczoskia"
"wahena, Aphis"
"wahinkae, Nasonovia"
"wahnaga, Illinoia"
"wakibae, Ericaphis"
"wartenbergi, Aphis"
"wasintae, Acyrthosiphon"
"weberi, Macrosiphum"
"weingaertneriae, Schizaphis"
"wellensteini, Aphis"
"willamettense, Macrosiphum"
"willcocksi, Anoecia see vagans"
"williamsi, Nasonovia"
"wilsoni, Macrosiphum"
"woodsiae, Macrosiphum"
"woodwardiae, Macromyzus"
"xanthinae, Ferusaphis"
"xenotrichis, Pseudoepameibaphis"
"xerozoous, Pleotrichophorus"
"zhangi, Iowana"
"xinglongensis, Astegopteryx see Tuberaphis, Tuberaphis"
"xinjiangalbus, Chaitophorus see pruinosae"
"yasumatsui, Melanaphis, Sitobion"
"yomogicola, Macrosiphoniella"
"zawadovskii, Brachyunguis"
"zerogutierrezis, Uroleucon"
"zerothermum, Obtusicauda see coweni"
"zeya, Macrosiphoniella"
"zhangi, Cavariella see aquatica"
"zhanhuaensis, Melanaphis"
"zhanhuanus, Paracletus cimiciformis ssp."
"zinzalae, Uroleucon"
"zionense, Macrosiphum"
"zirnitsi, Anoecia, Hyperomyzus"
"zoijae, Xerobion"
"zolotarenkoi, Staticobium see gmelini"
"zonassa, Aphis"
"zoomontanus, Pleotrichophorus"
"zweigelti, Aphis"
"zygophylli, Brachyunguis"
"zymozionense, Uroleucon"
